[[ 0.2  0.2  0.6]],features-ngrams-topics,f079,2,10,0.111787493,0.13732155,0.123245882,,
[[ 0.2   0.21  0.59]],features-ngrams-topics,f079,2,10,0.115107914,0.141400408,0.12690665,,
[[ 0.2   0.22  0.58]],features-ngrams-topics,f079,2,10,0.105758583,0.129843644,0.116570034,,
[[ 0.2   0.23  0.57]],features-ngrams-topics,f079,2,10,0.111849391,0.13732155,0.123283491,,
[[ 0.2   0.24  0.56]],features-ngrams-topics,f079,2,10,0.111787493,0.13732155,0.123245882,,
[[ 0.2   0.25  0.55]],features-ngrams-topics,f079,2,10,0.105088496,0.129163834,0.115888991,,
[[ 0.2   0.26  0.54]],features-ngrams-topics,f079,2,10,0.106253459,0.130523453,0.1171446,,
[[ 0.2   0.27  0.53]],features-ngrams-topics,f079,2,10,0.104651163,0.128484024,0.115349405,,
[[ 0.2   0.28  0.52]],features-ngrams-topics,f079,2,10,0.107419712,0.131883073,0.118400977,,
[[ 0.2   0.29  0.51]],features-ngrams-topics,f079,2,10,0.105758583,0.129843644,0.116570034,,
[[ 0.2  0.3  0.5]],features-ngrams-topics,f079,2,10,0.112403101,0.13800136,0.123893805,,
[[ 0.2   0.31  0.49]],features-ngrams-topics,f079,2,10,0.105758583,0.129843644,0.116570034,,
[[ 0.2  0.2  0.6]],features-ngrams-topics,f079,2,10,0.109573879,0.134602311,0.120805369,,
[[ 0.2   0.21  0.59]],features-ngrams-topics,f079,2,10,0.104651163,0.128484024,0.115349405,,
[[ 0.2   0.22  0.58]],features-ngrams-topics,f079,2,10,0.111787493,0.13732155,0.123245882,,
[[ 0.2   0.23  0.57]],features-ngrams-topics,f079,2,10,0.109080842,0.133922502,0.120231919,,
[[ 0.2   0.24  0.56]],features-ngrams-topics,f079,2,10,0.104039845,0.127804215,0.114704088,,
[[ 0.2   0.25  0.55]],features-ngrams-topics,f079,2,10,0.109573879,0.134602311,0.120805369,,
[[ 0.2   0.26  0.54]],features-ngrams-topics,f079,2,10,0.109020476,0.133922502,0.120195241,,
[[ 0.2   0.27  0.53]],features-ngrams-topics,f079,2,10,0.104039845,0.127804215,0.114704088,,
[[ 0.2   0.28  0.52]],features-ngrams-topics,f079,2,10,0.105758583,0.129843644,0.116570034,,
[[ 0.2   0.29  0.51]],features-ngrams-topics,f079,2,10,0.116086235,0.142760027,0.12804878,,
[[ 0.2  0.3  0.5]],features-ngrams-topics,f079,2,10,0.106312292,0.130523453,0.117180348,,
[[ 0.2   0.31  0.49]],features-ngrams-topics,f079,2,10,0.110127283,0.135282121,0.121415497,,
[[ 0.2   0.32  0.48]],features-ngrams-topics,f079,2,10,0.108587258,0.133242692,0.11965812,,
[[ 0.2   0.33  0.47]],features-ngrams-topics,f079,2,10,0.104535398,0.128484024,0.115279048,,
[[ 0.2   0.34  0.46]],features-ngrams-topics,f079,2,10,0.108467072,0.133242692,0.119585113,,
[[ 0.2   0.35  0.45]],features-ngrams-topics,f079,2,10,0.109020476,0.133922502,0.120195241,,
[[ 0.2   0.36  0.44]],features-ngrams-topics,f079,2,10,0.107419712,0.131883073,0.118400977,,
