10001128,precision,0,recall,0,['problem entity', 'sentence talks', 'problem concrete', 'product names', 'opinion mining']
10005232,precision,0.2,recall,0.1666666667,['feature groups', 'dense feature', 'feature selection', 'dense group', 'stable feature']
10010518,precision,0,recall,0,['rank patents', 'patent rating', 'patent evaluation', 'patent cluster', 'patent data']
10011554,precision,0,recall,0,['Event sequences', 'summarization problem', 'large event', 'short summaries', 'large datasets']
10017791,precision,0,recall,0,['method RTF', 'TF methods', 'recommendation methods', 'prediction method', 'recommendation Tag']
10038011,precision,0,recall,0,['petroglyphs Rock', 'Rock art', 'data mining', 'distance measure', 'North America']
10061437,precision,0.2,recall,0.2,['relevance approach', 'greedy approach', 'new approach', 'query abandonment', 'theoretical guarantees']
10078748,precision,0.4,recall,0.3333333333,['social influence', 'influence propagation', 'topic-level influence', 'social networks', 'strong influence']
10095848,precision,0.2,recall,0.3333333333,['node labels', 'label information', 'label acquisition', 'network clustering', 'collective labeling']
1009607,precision,0,recall,0,['handwriting data', 'motion-capture data', 'Such transformations', 'applications such', 'areas such']
10105197,precision,0.2,recall,0.2,['network evolution', 'network properties', 'network generation', 'affiliation networks', 'social network']
10151654,precision,0.2,recall,0.1666666667,['data center', 'data mining', 'series data', 'data streams', 'center chillers']
10164574,precision,0.2,recall,0.3333333333,['entity attributes', 'person entities', 'entity identification', 'discriminative entity', 'such attributes']
10181044,precision,0,recall,0,['BGP update', 'mining BGP', 'automated BGP', 'updates analysis', 'Gateway Protocol']
10186200,precision,0,recall,0,['shortest-path distance', 'dissimilarity measures', 'destination node', 'particular node', 'RSP dissimilarity']
10193735,precision,0,recall,0,['source domain', 'domain distribution', 'target domains', 'Cross domain', 'kernel approach']
10201372,precision,0,recall,0,['supervised models', 'base model', 'other models', 'model due', 'accurate model']
10201458,precision,0,recall,0,['algorithm ISA', 'analysis framework', 'mining algorithms', 'RAP framework', 'Several algorithms']
10224533,precision,0.2,recall,0.5,['discriminatory rules', 'discriminatory classification', 'discriminatory attributes', 'classification rules', 'credit approval']
10236111,precision,0,recall,0,['SNP-pair ANOVA', 'effective SNP-pair', 'SNP-pair pruning', 'ANOVA tests', 'candidate SNP-pairs']
10257235,precision,0,recall,0,['learning repository', 'Modern Portfolio', 'privacy-utility tradeoff', 'machine learning', 'Portfolio Theory']
10269043,precision,0,recall,0,['user similarity', 'participation behavior', 'different features', 'grouping behavior', 'structural relationships']
10275752,precision,0,recall,0,['advertisement clickthrough', 'keyword advertising', 'online advertising', 'advertising platforms', 'large-scale advertising']
10284571,precision,0,recall,0,['Search logs', 'engines Search', 'dissatisfactory query', 'query sessions', 'query analysis']
10285045,precision,0,recall,0,['coverage ratio', 'efficient crawler', 'various forums', 'web forums', 'high coverage']
10346388,precision,0,recall,0,['hybrid model', 'Individual models', 'discriminative model', 'generative model', 'Naive Bayes']
10351682,precision,0,recall,0,['high-dimensional data', 'distance-based approaches', 'data objects', 'difference vectors', 'different groups']
10489135,precision,0.2,recall,0.25,['approximation algorithm', 'approximation guarantee', 'general algorithm', 'first algorithm', 'factor approximation']
1049322,precision,0.2,recall,0.2,['decision trees', 'classification methods', 'other classification', 'knowledge discovery', 'additional knowledge']
10508839,precision,0,recall,0,['software defects', 'reported defects', 'software products', 'enterprise software', 'software vendors']
10514814,precision,0,recall,0,['spatio-temporal data', 'Science data', 'entire state', 'data mining', 'San Francisco']
10561862,precision,0.4,recall,0.4,['heap dumps', 'heap profiling', 'Memory leaks', 'graph mining', 'state-of-the-art tools']
10597102,precision,0.2,recall,0.1666666667,['Information diffusion', 'influence Information', 'information cascades', 'diffusion network', 'media sites']
10655059,precision,0,recall,0,['aspect opinion', 'Aspect Rating', 'reviewers rating', 'latent opinion', 'Latent Aspect']
1071109,precision,0,recall,0,['pattern-growth approach', 'pattern-reduction approach', 'relational graphs', 'graph theory', 'edge connectivity']
10757352,precision,0.2,recall,0.25,['insurance claims', 'claims data', 'health insurer', 'research problems', 'problem formulation']
10837032,precision,0,recall,0,['dataflow implementation', 'co-clustering large', 'co-clustering framework', 'dataflow CF', 'dataflow library']
10837037,precision,0,recall,0,['dynamic biological', 'biological networks', 'transformation rules', 'dynamic networks', 'mining approaches']
10843921,precision,0,recall,0,['training data', 'data Classification', 'commercial intent', 'data sources', 'data mining']
10843923,precision,0.2,recall,0.25,['object classification', 'web object', 'web classification', 'classification problem', 'labeled objects']
10903275,precision,0,recall,0,['optimization formulation', 'gradient scheme', 'projected gradient', 'optimization problem', 'gradient algorithms']
1092205,precision,0,recall,0,['significant loss', 'storage space', 'base-level classifiers', 'complex ensembles', 'hea-ring aids']
10925003,precision,0,recall,0,['communication networks', 'several months', 'communication services', 'person-to-person network', 'patterns such']
1094028,precision,0,recall,0,['feature set', 'optimal itemsets', 'quality measure', 'total set', 'binary feature']
10940984,precision,0,recall,0,['heuristic algorithm', 'algorithm scales', 'greedy algorithm', 'Scalable influence', 'networks Influence']
1094423,precision,0,recall,0,['prototype system', 'system LEILA', 'approach profits', 'matching approach', 'text patterns']
10971362,precision,0.2,recall,0.1666666667,['approach Software', 'classification technique', 'software systems', 'software behaviors', 'concurrency bug']
11080150,precision,0,recall,0,['inference methods', 'sampling methods', 'new method', 'several methods', 'topic inference']
1110787,precision,0,recall,0,['Web users', 'web recommendation', 'user models', 'features Web', 'entropy web']
